106	109	111	118	98	114	118	104	120	120	120	120	120	104	120	120	120	120	120	120	
89	93	100	87	102	98	97	92	91	96	118	81	104	97	102	89	101	104	94	85	
72	68	72	59	59	65	63	62	71	65	68	66	67	62	67	68	64	65	65	65	
71	78	78	120	82	76	74	87	86	87	84	88	86	69	80	85	73	74	72	76	
83	71	89	85	85	88	105	83	92	97	88	92	100	92	100	92	89	93	92	98	
56	57	67	67	69	64	71	75	77	77	76	73	77	81	75	70	77	82	73	72	
110	117	120	120	120	120	120	120	120	120	120	120	120	113	120	120	120	120	120	120	
105	120	120	120	120	120	117	113	113	120	109	113	120	120	120	120	117	88	84	94	
95	94	103	108	103	95	100	100	106	110	111	114	118	106	114	114	118	100	113	103	
97	83	81	83	83	80	80	90	81	77	76	78	87	84	87	89	94	90	83	87	
